Model: llama2:70b-chat
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 60286.37 seconds
Average inference time per article: 30.7 seconds
Inference times per article:
Article 1918: 17.66 seconds
Article 1919: 22.77 seconds
Article 1920: 28.05 seconds
Article 1921: 35.06 seconds
Article 1922: 28.28 seconds
Article 1923: 41.83 seconds
Article 1924: 23.25 seconds
Article 1925: 27.52 seconds
Article 1926: 29.22 seconds
Article 1927: 17.85 seconds
Article 1928: 28.65 seconds
Article 1929: 26.74 seconds
Article 1930: 37.09 seconds
Article 1931: 13.89 seconds
Article 1932: 32.42 seconds
Article 1933: 45.97 seconds
Article 1934: 28.03 seconds
Article 1935: 33.70 seconds
Article 1936: 42.13 seconds
Article 1937: 25.66 seconds
Article 1938: 24.22 seconds
Article 1939: 25.61 seconds
Article 1940: 31.81 seconds
Article 1941: 36.30 seconds
Article 1942: 27.35 seconds
Article 1943: 38.17 seconds
Article 1944: 28.18 seconds
Article 1945: 43.22 seconds
Article 1946: 35.93 seconds
Article 1947: 16.15 seconds
Article 1948: 28.06 seconds
Article 1949: 29.56 seconds
Article 1950: 12.82 seconds
Article 1951: 36.52 seconds
Article 1952: 26.62 seconds
Article 1953: 17.35 seconds
Article 1954: 34.67 seconds
Article 1955: 34.46 seconds
Article 1956: 19.24 seconds
Article 1957: 23.80 seconds
Article 1958: 22.87 seconds
Article 1959: 21.47 seconds
Article 1960: 18.78 seconds
Article 1961: 37.22 seconds
Article 1962: 27.57 seconds
Article 1963: 23.31 seconds
Article 1964: 32.93 seconds
Article 1965: 25.63 seconds
Article 1966: 27.11 seconds
Article 1967: 22.08 seconds
Article 1968: 24.44 seconds
Article 1969: 32.21 seconds
Article 1970: 23.45 seconds
Article 1971: 45.16 seconds
Article 1972: 31.42 seconds
Article 1973: 43.51 seconds
Article 1974: 22.59 seconds
Article 1975: 17.82 seconds
Article 1976: 27.58 seconds
Article 1977: 37.93 seconds
Article 1978: 28.85 seconds
Article 1979: 19.30 seconds
Article 1980: 10.09 seconds
Article 1981: 32.94 seconds
Article 1982: 17.57 seconds
Article 1983: 37.83 seconds
Article 1984: 27.75 seconds
Article 1985: 44.68 seconds
Article 1986: 19.59 seconds
Article 1987: 25.72 seconds
Article 1988: 20.48 seconds
Article 1989: 27.91 seconds
Article 1990: 33.29 seconds
Article 1991: 25.81 seconds
Article 1992: 47.67 seconds
Article 1993: 37.23 seconds
Article 1994: 56.01 seconds
Article 1995: 46.73 seconds
Article 1996: 18.90 seconds
Article 1997: 34.23 seconds
Article 1998: 20.66 seconds
Article 1999: 37.53 seconds
Article 2000: 12.72 seconds
